step,label,alpha,date,precision,Pb_recall,Ti_recall,O_recall,Pb_recall_bulk,Ti_recall_bulk,O_recall_bulk,xy_rms,z_rms,Pb_zrms,Ti_zrms,O_zrms,confusion,n_found,n_matched,fp_total,fp_Pb,fp_Ti,fp_O,c1_true,c1_fit,c1_halfwidth,c1_within,c1_source,note,report
0,"known probe, noiseless",70,2026-09-17,0.9794238683127572,0.944,0.8584905660377359,0.7672413793103449,0.9753086419753086,0.8194444444444444,0.75,0.04351056640746176,0.5553922254033894,0.5590588790870381,0.4537353895162601,0.5844809001083875,0.012605042016806723,486,476,10,4,0,6,,,,,,canonical round-alpha set; lab BETA_LSQ 0.05,/Users/u2109287/Desktop/thin_ab_af_final/out/atomfind_a70/report.json
0,"known probe, noiseless",90,2026-09-17,0.9397590361445783,0.936,0.9433962264150944,0.9454022988505747,0.9466666666666667,0.9444444444444444,0.9490740740740741,0.0261335265198556,0.3721752600091723,0.3948691972051726,0.3339468236357255,0.37487177378896,0.0,581,546,35,2,0,33,,,,,,canonical round-alpha set; lab BETA_LSQ 0.1 (kernels 0.05) -- re-baselined at 0.05 by step 1's known-C1 NITER 200 run,/Users/u2109287/Desktop/thin_ab_af_final/out/atomfind_a90/report.json
1,"focus fitted, corrector fixed",70,2026-09-21,0.958963282937365,0.936,0.8301886792452831,0.6867816091954023,0.9733333333333334,0.9402985074626866,0.7916666666666666,0.0372100744725269,0.5857964613181897,0.49951881220791866,0.46127002177118115,0.6610643008492231,0.02702702702702703,463,444,19,4,0,15,-60.0,-62.0,3.0,True,a70_lab_n50,lab + matched kernels reconstructed at the fitted focus,/Users/u2109287/Desktop/relax_0921/analysis_0921/atomfind_a70_fitC1/report.json
1,"focus fitted, corrector fixed",90,2026-09-21,0.926391382405745,0.904,0.8679245283018868,0.8936781609195402,0.9,0.8333333333333334,0.8649789029535865,0.023334208977940554,0.4433963691963266,0.42368130233264534,0.3551632774895931,0.47292157300864557,0.0,557,516,41,0,0,41,-160.0,-158.0,1.0,False,a90_lab_n50,lab + matched kernels reconstructed at the fitted focus,/Users/u2109287/Desktop/relax_0921/analysis_0921/atomfind_a90_fitC1/report.json
2,shot noise 1e5 e/A2,70,2026-09-18,0.8705035971223022,0.76,0.6037735849056604,0.5862068965517241,0.7333333333333333,0.5277777777777778,0.5833333333333334,0.17028203092970917,0.9903399854109742,1.0626237142250612,0.5883708099791122,1.0539238066788676,0.13774104683195593,417,363,54,9,0,45,,,,,,known probe; matched kernels at the same dose,/Users/u2109287/Desktop/relax_0917/dose_analysis/atomfind_a70_dose1e5/report.json
2,shot noise 1e6 e/A2,70,2026-09-18,0.8092691622103387,0.824,0.7735849056603774,0.7729885057471264,0.8255813953488372,0.7361111111111112,0.7383966244725738,0.09323156256850387,0.8748238790164238,0.8798874422420148,0.6962966845740908,0.9205523134922395,0.1277533039647577,561,454,107,7,1,99,,,,,,known probe; matched kernels at the same dose,/Users/u2109287/Desktop/relax_0917/dose_analysis/atomfind_a70_dose1e6/report.json
2,shot noise 1e7 e/A2,70,2026-09-18,0.892578125,0.88,0.839622641509434,0.7413793103448276,0.9,0.8055555555555556,0.7088607594936709,0.056460137609878155,0.7665916655273887,0.6984809161251913,0.5496549890836663,0.8536443586010296,0.05689277899343545,512,457,55,5,0,50,,,,,,known probe; matched kernels at the same dose,/Users/u2109287/Desktop/relax_0917/dose_analysis/atomfind_a70_dose1e7/report.json
2,shot noise 1e5 e/A2,90,2026-09-18,0.9511278195488722,0.8,0.5754716981132075,0.26436781609195403,0.72,0.4861111111111111,0.25462962962962965,0.09466616371177103,0.7925959606543194,0.6329037219127193,0.4890953440430278,1.0646898536529747,0.12648221343873517,266,253,13,7,1,5,,,,,,known probe; matched kernels at the same dose,/Users/u2109287/Desktop/relax_0917/dose_analysis/atomfind_a90_dose1e5/report.json
2,shot noise 1e6 e/A2,90,2026-09-18,0.8433333333333334,0.92,0.9150943396226415,0.8448275862068966,0.9066666666666666,0.9027777777777778,0.8425925925925926,0.062450686335761986,0.7256462630795795,0.5737538070100207,0.48038105749735754,0.8374708479537134,0.05138339920948617,600,506,94,9,0,85,,,,,,known probe; matched kernels at the same dose,/Users/u2109287/Desktop/relax_0917/dose_analysis/atomfind_a90_dose1e6/report.json
2,shot noise 1e7 e/A2,90,2026-09-18,0.8020989505247377,0.952,0.9245283018867925,0.9137931034482759,0.96,0.9166666666666666,0.9120370370370371,0.05828598304230991,0.6297363948794418,0.4900866345755435,0.43223842167825904,0.7209194241728913,0.029906542056074768,667,535,132,9,0,123,,,,,,known probe; matched kernels at the same dose,/Users/u2109287/Desktop/relax_0917/dose_analysis/atomfind_a90_dose1e7/report.json
